extra_time,goals_against,goals_for,match_date,match_name,opponent,penalty_shootout,result_after_match_rules,score,score_penalties,side,source,stage_name,team,year
0,1,0,1998-06-27,Italy vs Norway,Italy,0,L,1–0,0-0,away,jfjelstul/worldcup matches.csv,round of 16,Norway,1998
0,1,4,1998-06-27,Brazil vs Chile,Chile,0,W,4–1,0-0,home,jfjelstul/worldcup matches.csv,round of 16,Brazil,1998
1,0,1,1998-06-28,France vs Paraguay,Paraguay,0,W,1–0,0-0,home,jfjelstul/worldcup matches.csv,round of 16,France,1998
1,1,0,1998-06-28,France vs Paraguay,France,0,L,1–0,0-0,away,jfjelstul/worldcup matches.csv,round of 16,Paraguay,1998
0,1,2,1998-06-29,Germany vs Mexico,Mexico,0,W,2–1,0-0,home,jfjelstul/worldcup matches.csv,round of 16,Germany,1998
0,2,1,1998-06-29,Germany vs Mexico,Germany,0,L,2–1,0-0,away,jfjelstul/worldcup matches.csv,round of 16,Mexico,1998
0,1,2,1998-06-29,Netherlands vs Yugoslavia,Yugoslavia,0,W,2–1,0-0,home,jfjelstul/worldcup matches.csv,round of 16,Netherlands,1998
0,0,1,1998-06-30,Romania vs Croatia,Romania,0,W,0–1,0-0,away,jfjelstul/worldcup matches.csv,round of 16,Croatia,1998
1,2,2,1998-06-30,Argentina vs England,England,1,W,2–2,4–3,home,jfjelstul/worldcup matches.csv,round of 16,Argentina,1998
1,2,2,1998-06-30,Argentina vs England,Argentina,1,L,2–2,4–3,away,jfjelstul/worldcup matches.csv,round of 16,England,1998
1,0,0,1998-07-03,Italy vs France,Italy,1,W,0–0,3–4,away,jfjelstul/worldcup matches.csv,quarter-finals,France,1998
0,2,3,1998-07-03,Brazil vs Denmark,Denmark,0,W,3–2,0-0,home,jfjelstul/worldcup matches.csv,quarter-finals,Brazil,1998
0,1,2,1998-07-04,Netherlands vs Argentina,Argentina,0,W,2–1,0-0,home,jfjelstul/worldcup matches.csv,quarter-finals,Netherlands,1998
0,2,1,1998-07-04,Netherlands vs Argentina,Netherlands,0,L,2–1,0-0,away,jfjelstul/worldcup matches.csv,quarter-finals,Argentina,1998
0,3,0,1998-07-04,Germany vs Croatia,Croatia,0,L,0–3,0-0,home,jfjelstul/worldcup matches.csv,quarter-finals,Germany,1998
0,0,3,1998-07-04,Germany vs Croatia,Germany,0,W,0–3,0-0,away,jfjelstul/worldcup matches.csv,quarter-finals,Croatia,1998
1,1,1,1998-07-07,Brazil vs Netherlands,Netherlands,1,W,1–1,4–2,home,jfjelstul/worldcup matches.csv,semi-finals,Brazil,1998
1,1,1,1998-07-07,Brazil vs Netherlands,Brazil,1,L,1–1,4–2,away,jfjelstul/worldcup matches.csv,semi-finals,Netherlands,1998
0,1,2,1998-07-08,France vs Croatia,Croatia,0,W,2–1,0-0,home,jfjelstul/worldcup matches.csv,semi-finals,France,1998
0,2,1,1998-07-08,France vs Croatia,France,0,L,2–1,0-0,away,jfjelstul/worldcup matches.csv,semi-finals,Croatia,1998
0,2,1,1998-07-11,Netherlands vs Croatia,Croatia,0,L,1–2,0-0,home,jfjelstul/worldcup matches.csv,third-place match,Netherlands,1998
0,1,2,1998-07-11,Netherlands vs Croatia,Netherlands,0,W,1–2,0-0,away,jfjelstul/worldcup matches.csv,third-place match,Croatia,1998
0,3,0,1998-07-12,Brazil vs France,France,0,L,0–3,0-0,home,jfjelstul/worldcup matches.csv,final,Brazil,1998
0,0,3,1998-07-12,Brazil vs France,Brazil,0,W,0–3,0-0,away,jfjelstul/worldcup matches.csv,final,France,1998
0,1,3,1999-06-30,Norway vs Sweden,Sweden,0,W,3–1,0-0,home,jfjelstul/worldcup matches.csv,quarter-final,Norway,1999
0,3,1,1999-06-30,Norway vs Sweden,Norway,0,L,3–1,0-0,away,jfjelstul/worldcup matches.csv,quarter-final,Sweden,1999
0,2,3,1999-07-01,United States vs Germany,Germany,0,W,3–2,0-0,home,jfjelstul/worldcup matches.csv,quarter-final,United States,1999
0,3,2,1999-07-01,United States vs Germany,United States,0,L,3–2,0-0,away,jfjelstul/worldcup matches.csv,quarter-final,Germany,1999
1,3,4,1999-07-01,Brazil vs Nigeria,Nigeria,0,W,4–3,0-0,home,jfjelstul/worldcup matches.csv,quarter-final,Brazil,1999
0,0,2,1999-07-04,United States vs Brazil,Brazil,0,W,2–0,0-0,home,jfjelstul/worldcup matches.csv,semi-final,United States,1999
0,2,0,1999-07-04,United States vs Brazil,United States,0,L,2–0,0-0,away,jfjelstul/worldcup matches.csv,semi-final,Brazil,1999
0,5,0,1999-07-04,Norway vs China,China,0,L,0–5,0-0,home,jfjelstul/worldcup matches.csv,semi-final,Norway,1999
0,0,0,1999-07-10,Brazil vs Norway,Norway,1,W,0–0,5–4,home,jfjelstul/worldcup matches.csv,third-place match,Brazil,1999
0,0,0,1999-07-10,Brazil vs Norway,Brazil,1,L,0–0,5–4,away,jfjelstul/worldcup matches.csv,third-place match,Norway,1999
1,0,0,1999-07-10,United States vs China,China,1,W,0–0,5–4,home,jfjelstul/worldcup matches.csv,final,United States,1999
0,0,1,2002-06-15,Germany vs Paraguay,Paraguay,0,W,1–0,0-0,home,jfjelstul/worldcup matches.csv,round of 16,Germany,2002
0,1,0,2002-06-15,Germany vs Paraguay,Germany,0,L,1–0,0-0,away,jfjelstul/worldcup matches.csv,round of 16,Paraguay,2002
