extra_time,goals_against,goals_for,match_date,match_name,opponent,penalty_shootout,result_after_match_rules,score,score_penalties,side,source,stage_name,team,year
0,1,0,1998-06-27,Italy vs Norway,Italy,0,L,1–0,0-0,away,jfjelstul/worldcup matches.csv,round of 16,Norway,1998
0,1,4,1998-06-27,Brazil vs Chile,Chile,0,W,4–1,0-0,home,jfjelstul/worldcup matches.csv,round of 16,Brazil,1998
1,0,1,1998-06-28,France vs Paraguay,Paraguay,0,W,1–0,0-0,home,jfjelstul/worldcup matches.csv,round of 16,France,1998
1,1,0,1998-06-28,France vs Paraguay,France,0,L,1–0,0-0,away,jfjelstul/worldcup matches.csv,round of 16,Paraguay,1998
0,1,2,1998-06-29,Germany vs Mexico,Mexico,0,W,2–1,0-0,home,jfjelstul/worldcup matches.csv,round of 16,Germany,1998
0,2,1,1998-06-29,Germany vs Mexico,Germany,0,L,2–1,0-0,away,jfjelstul/worldcup matches.csv,round of 16,Mexico,1998
0,1,2,1998-06-29,Netherlands vs Yugoslavia,Yugoslavia,0,W,2–1,0-0,home,jfjelstul/worldcup matches.csv,round of 16,Netherlands,1998
0,0,1,1998-06-30,Romania vs Croatia,Romania,0,W,0–1,0-0,away,jfjelstul/worldcup matches.csv,round of 16,Croatia,1998
1,2,2,1998-06-30,Argentina vs England,England,1,W,2–2,4–3,home,jfjelstul/worldcup matches.csv,round of 16,Argentina,1998
1,2,2,1998-06-30,Argentina vs England,Argentina,1,L,2–2,4–3,away,jfjelstul/worldcup matches.csv,round of 16,England,1998
0,0,1,2002-06-15,Germany vs Paraguay,Paraguay,0,W,1–0,0-0,home,jfjelstul/worldcup matches.csv,round of 16,Germany,2002
0,1,0,2002-06-15,Germany vs Paraguay,Germany,0,L,1–0,0-0,away,jfjelstul/worldcup matches.csv,round of 16,Paraguay,2002
0,0,3,2002-06-15,Denmark vs England,Denmark,0,W,0–3,0-0,away,jfjelstul/worldcup matches.csv,round of 16,England,2002
1,2,1,2002-06-16,Sweden vs Senegal,Senegal,0,L,1–2,0-0,home,jfjelstul/worldcup matches.csv,round of 16,Sweden,2002
1,1,2,2002-06-16,Sweden vs Senegal,Sweden,0,W,1–2,0-0,away,jfjelstul/worldcup matches.csv,round of 16,Senegal,2002
1,1,1,2002-06-16,Spain vs Republic of Ireland,Republic of Ireland,1,W,1–1,3–2,home,jfjelstul/worldcup matches.csv,round of 16,Spain,2002
0,2,0,2002-06-17,Mexico vs United States,United States,0,L,0–2,0-0,home,jfjelstul/worldcup matches.csv,round of 16,Mexico,2002
0,0,2,2002-06-17,Mexico vs United States,Mexico,0,W,0–2,0-0,away,jfjelstul/worldcup matches.csv,round of 16,United States,2002
0,0,2,2002-06-17,Brazil vs Belgium,Belgium,0,W,2–0,0-0,home,jfjelstul/worldcup matches.csv,round of 16,Brazil,2002
0,2,0,2002-06-17,Brazil vs Belgium,Brazil,0,L,2–0,0-0,away,jfjelstul/worldcup matches.csv,round of 16,Belgium,2002
0,1,0,2002-06-18,Japan vs Turkey,Turkey,0,L,0–1,0-0,home,jfjelstul/worldcup matches.csv,round of 16,Japan,2002
0,0,2,2006-06-24,Germany vs Sweden,Sweden,0,W,2–0,0-0,home,jfjelstul/worldcup matches.csv,round of 16,Germany,2006
0,2,0,2006-06-24,Germany vs Sweden,Germany,0,L,2–0,0-0,away,jfjelstul/worldcup matches.csv,round of 16,Sweden,2006
1,1,2,2006-06-24,Argentina vs Mexico,Mexico,0,W,2–1,0-0,home,jfjelstul/worldcup matches.csv,round of 16,Argentina,2006
1,2,1,2006-06-24,Argentina vs Mexico,Argentina,0,L,2–1,0-0,away,jfjelstul/worldcup matches.csv,round of 16,Mexico,2006
0,0,1,2006-06-25,England vs Ecuador,Ecuador,0,W,1–0,0-0,home,jfjelstul/worldcup matches.csv,round of 16,England,2006
0,1,0,2006-06-25,England vs Ecuador,England,0,L,1–0,0-0,away,jfjelstul/worldcup matches.csv,round of 16,Ecuador,2006
0,0,1,2006-06-25,Portugal vs Netherlands,Netherlands,0,W,1–0,0-0,home,jfjelstul/worldcup matches.csv,round of 16,Portugal,2006
0,1,0,2006-06-25,Portugal vs Netherlands,Portugal,0,L,1–0,0-0,away,jfjelstul/worldcup matches.csv,round of 16,Netherlands,2006
0,1,0,2006-06-26,Italy vs Australia,Italy,0,L,1–0,0-0,away,jfjelstul/worldcup matches.csv,round of 16,Australia,2006
1,0,0,2006-06-26,Switzerland vs Ukraine,Ukraine,1,L,0–0,0–3,home,jfjelstul/worldcup matches.csv,round of 16,Switzerland,2006
0,0,3,2006-06-27,Brazil vs Ghana,Ghana,0,W,3–0,0-0,home,jfjelstul/worldcup matches.csv,round of 16,Brazil,2006
0,3,0,2006-06-27,Brazil vs Ghana,Brazil,0,L,3–0,0-0,away,jfjelstul/worldcup matches.csv,round of 16,Ghana,2006
0,3,1,2006-06-27,Spain vs France,France,0,L,1–3,0-0,home,jfjelstul/worldcup matches.csv,round of 16,Spain,2006
0,1,3,2006-06-27,Spain vs France,Spain,0,W,1–3,0-0,away,jfjelstul/worldcup matches.csv,round of 16,France,2006
1,2,1,2010-06-26,United States vs Ghana,Ghana,0,L,1–2,0-0,home,jfjelstul/worldcup matches.csv,round of 16,United States,2010
