captured_at,source,event_name,sport,competition,market,selection,odd,url,period,bookmaker_event_id,raw_text,key
2026-06-09T21:18:51,lottu,México x África do Sul,football,Internacional - Copa do Mundo,Resultado Final 1X2,México,1.39,https://www.lottu.bet.br/s/CLE?group_type=LEAGUE&identifier=sr:tournament:16&name=,11/06 16:00,,11/06 | 16:00 | México | África do Sul | 1 | 1.39 | x | 4.31 | 2 | 8.45,lottu|football|Internacional - Copa do Mundo|México x África do Sul|Resultado Final 1X2|México
2026-06-09T21:18:51,lottu,México x África do Sul,football,Internacional - Copa do Mundo,Resultado Final 1X2,Empate,4.31,https://www.lottu.bet.br/s/CLE?group_type=LEAGUE&identifier=sr:tournament:16&name=,11/06 16:00,,11/06 | 16:00 | México | África do Sul | 1 | 1.39 | x | 4.31 | 2 | 8.45,lottu|football|Internacional - Copa do Mundo|México x África do Sul|Resultado Final 1X2|Empate
2026-06-09T21:18:51,lottu,México x África do Sul,football,Internacional - Copa do Mundo,Resultado Final 1X2,África do Sul,8.45,https://www.lottu.bet.br/s/CLE?group_type=LEAGUE&identifier=sr:tournament:16&name=,11/06 16:00,,11/06 | 16:00 | México | África do Sul | 1 | 1.39 | x | 4.31 | 2 | 8.45,lottu|football|Internacional - Copa do Mundo|México x África do Sul|Resultado Final 1X2|África do Sul
2026-06-09T21:18:51,lottu,Coreia do Sul x República Tcheca,football,Internacional - Copa do Mundo,Resultado Final 1X2,Coreia do Sul,2.52,https://www.lottu.bet.br/s/CLE?group_type=LEAGUE&identifier=sr:tournament:16&name=,11/06 23:00,,11/06 | 23:00 | Coreia do Sul | República Tcheca | 1 | 2.52 | x | 3.07 | 2 | 2.78,lottu|football|Internacional - Copa do Mundo|Coreia do Sul x República Tcheca|Resultado Final 1X2|Coreia do Sul
2026-06-09T21:18:51,lottu,Coreia do Sul x República Tcheca,football,Internacional - Copa do Mundo,Resultado Final 1X2,Empate,3.07,https://www.lottu.bet.br/s/CLE?group_type=LEAGUE&identifier=sr:tournament:16&name=,11/06 23:00,,11/06 | 23:00 | Coreia do Sul | República Tcheca | 1 | 2.52 | x | 3.07 | 2 | 2.78,lottu|football|Internacional - Copa do Mundo|Coreia do Sul x República Tcheca|Resultado Final 1X2|Empate
2026-06-09T21:18:51,lottu,Coreia do Sul x República Tcheca,football,Internacional - Copa do Mundo,Resultado Final 1X2,República Tcheca,2.78,https://www.lottu.bet.br/s/CLE?group_type=LEAGUE&identifier=sr:tournament:16&name=,11/06 23:00,,11/06 | 23:00 | Coreia do Sul | República Tcheca | 1 | 2.52 | x | 3.07 | 2 | 2.78,lottu|football|Internacional - Copa do Mundo|Coreia do Sul x República Tcheca|Resultado Final 1X2|República Tcheca
2026-06-09T21:18:51,lottu,Canadá x Bósnia & Herzegovina,football,Internacional - Copa do Mundo,Resultado Final 1X2,Canadá,1.76,https://www.lottu.bet.br/s/CLE?group_type=LEAGUE&identifier=sr:tournament:16&name=,12/06 16:00,,12/06 | 16:00 | Canadá | Bósnia & Herzegovina | 1 | 1.76 | x | 3.50 | 2 | 4.38,lottu|football|Internacional - Copa do Mundo|Canadá x Bósnia & Herzegovina|Resultado Final 1X2|Canadá
2026-06-09T21:18:51,lottu,Canadá x Bósnia & Herzegovina,football,Internacional - Copa do Mundo,Resultado Final 1X2,Empate,3.5,https://www.lottu.bet.br/s/CLE?group_type=LEAGUE&identifier=sr:tournament:16&name=,12/06 16:00,,12/06 | 16:00 | Canadá | Bósnia & Herzegovina | 1 | 1.76 | x | 3.50 | 2 | 4.38,lottu|football|Internacional - Copa do Mundo|Canadá x Bósnia & Herzegovina|Resultado Final 1X2|Empate
2026-06-09T21:18:51,lottu,Canadá x Bósnia & Herzegovina,football,Internacional - Copa do Mundo,Resultado Final 1X2,Bósnia & Herzegovina,4.38,https://www.lottu.bet.br/s/CLE?group_type=LEAGUE&identifier=sr:tournament:16&name=,12/06 16:00,,12/06 | 16:00 | Canadá | Bósnia & Herzegovina | 1 | 1.76 | x | 3.50 | 2 | 4.38,lottu|football|Internacional - Copa do Mundo|Canadá x Bósnia & Herzegovina|Resultado Final 1X2|Bósnia & Herzegovina
2026-06-09T21:18:51,lottu,EUA x Paraguai,football,Internacional - Copa do Mundo,Resultado Final 1X2,EUA,1.95,https://www.lottu.bet.br/s/CLE?group_type=LEAGUE&identifier=sr:tournament:16&name=,12/06 22:00,,12/06 | 22:00 | EUA | Paraguai | 1 | 1.95 | x | 3.28 | 2 | 3.78,lottu|football|Internacional - Copa do Mundo|EUA x Paraguai|Resultado Final 1X2|EUA
