team,match_rank_recent,date,side,home_team,away_team,opponent,team_scoreline,home_score,away_score,team_result,tournament,city,country,neutral,within_last_year,source_url
Algeria,1,2026-06-03,away,Netherlands,Algeria,Netherlands,1-0,0,1,W,Friendly,Rotterdam,Netherlands,0,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Algeria,2,2026-03-31,neutral,Algeria,Uruguay,Uruguay,0-0,0,0,D,Friendly,Turin,Italy,1,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Algeria,3,2026-03-27,neutral,Algeria,Guatemala,Guatemala,7-0,7,0,W,Friendly,Genoa,Switzerland,1,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Algeria,4,2026-01-10,neutral,Algeria,Nigeria,Nigeria,0-2,0,2,L,African Cup of Nations,Marrakesh,Morocco,1,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Algeria,5,2026-01-06,neutral,Algeria,DR Congo,DR Congo,1-0,1,0,W,African Cup of Nations,Rabat,Morocco,1,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Algeria,6,2025-12-31,neutral,Equatorial Guinea,Algeria,Equatorial Guinea,3-1,1,3,W,African Cup of Nations,Rabat,Morocco,1,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Algeria,7,2025-12-28,neutral,Algeria,Burkina Faso,Burkina Faso,1-0,1,0,W,African Cup of Nations,Rabat,Morocco,1,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Algeria,8,2025-12-24,neutral,Algeria,Sudan,Sudan,3-0,3,0,W,African Cup of Nations,Rabat,Morocco,1,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Algeria,9,2025-12-12,neutral,Algeria,United Arab Emirates,United Arab Emirates,1-1,1,1,D,Arab Cup,Al Khor,Qatar,1,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Algeria,10,2025-12-09,neutral,Algeria,Iraq,Iraq,2-0,2,0,W,Arab Cup,Al Rayyan,Qatar,1,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Algeria,11,2025-12-06,neutral,Bahrain,Algeria,Bahrain,5-1,1,5,W,Arab Cup,Al Rayyan,Qatar,1,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Algeria,12,2025-12-03,neutral,Algeria,Sudan,Sudan,0-0,0,0,D,Arab Cup,Al Rayyan,Qatar,1,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Algeria,13,2025-11-18,away,Saudi Arabia,Algeria,Saudi Arabia,2-0,0,2,W,Friendly,Jeddah,Saudi Arabia,0,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Algeria,14,2025-11-13,neutral,Algeria,Zimbabwe,Zimbabwe,3-1,3,1,W,Friendly,Jeddah,Saudi Arabia,1,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Algeria,15,2025-10-14,home,Algeria,Uganda,Uganda,2-1,2,1,W,FIFA World Cup qualification,Tizi Ouzou,Algeria,0,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Algeria,16,2025-10-09,home,Algeria,Somalia,Somalia,3-0,3,0,W,FIFA World Cup qualification,Bir El Djir,Algeria,0,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Algeria,17,2025-09-08,neutral,Guinea,Algeria,Guinea,0-0,0,0,D,FIFA World Cup qualification,Casablanca,Morocco,1,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Algeria,18,2025-09-04,home,Algeria,Botswana,Botswana,3-1,3,1,W,FIFA World Cup qualification,Tizi Ouzou,Algeria,0,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Algeria,19,2025-06-10,away,Sweden,Algeria,Sweden,3-4,4,3,L,Friendly,Solna,Sweden,0,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Algeria,20,2025-06-09,home,Algeria,Rwanda,Rwanda,2-0,2,0,W,Friendly,Blida,Algeria,0,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Argentina,1,2026-06-06,neutral,Argentina,Honduras,Honduras,2-0,2,0,W,Friendly,College Station,United States,1,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Argentina,2,2026-03-31,home,Argentina,Zambia,Zambia,5-0,5,0,W,Friendly,Buenos Aires,Argentina,0,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Argentina,3,2026-03-27,home,Argentina,Mauritania,Mauritania,2-1,2,1,W,Friendly,Buenos Aires,Argentina,0,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Argentina,4,2025-11-14,away,Angola,Argentina,Angola,2-0,0,2,W,Friendly,Luanda,Angola,0,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Argentina,5,2025-10-14,neutral,Puerto Rico,Argentina,Puerto Rico,6-0,0,6,W,Friendly,Fort Lauderdale,United States,1,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Argentina,6,2025-10-10,neutral,Argentina,Venezuela,Venezuela,1-0,1,0,W,Friendly,Miami Gardens,United States,1,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Argentina,7,2025-09-09,away,Ecuador,Argentina,Ecuador,0-1,1,0,L,FIFA World Cup qualification,Guayaquil,Ecuador,0,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Argentina,8,2025-09-04,home,Argentina,Venezuela,Venezuela,3-0,3,0,W,FIFA World Cup qualification,Buenos Aires,Argentina,0,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Argentina,9,2025-06-10,home,Argentina,Colombia,Colombia,1-1,1,1,D,FIFA World Cup qualification,Buenos Aires,Argentina,0,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Argentina,10,2025-06-05,away,Chile,Argentina,Chile,1-0,0,1,W,FIFA World Cup qualification,Santiago,Chile,0,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Argentina,11,2025-03-25,home,Argentina,Brazil,Brazil,4-1,4,1,W,FIFA World Cup qualification,Buenos Aires,Argentina,0,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Argentina,12,2025-03-21,away,Uruguay,Argentina,Uruguay,1-0,0,1,W,FIFA World Cup qualification,Montevideo,Uruguay,0,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Argentina,13,2024-11-19,home,Argentina,Peru,Peru,1-0,1,0,W,FIFA World Cup qualification,Buenos Aires,Argentina,0,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Argentina,14,2024-11-14,away,Paraguay,Argentina,Paraguay,1-2,2,1,L,FIFA World Cup qualification,Asunción,Paraguay,0,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Argentina,15,2024-10-15,home,Argentina,Bolivia,Bolivia,6-0,6,0,W,FIFA World Cup qualification,Buenos Aires,Argentina,0,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Argentina,16,2024-10-10,away,Venezuela,Argentina,Venezuela,1-1,1,1,D,FIFA World Cup qualification,Maturín,Venezuela,0,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Argentina,17,2024-09-10,away,Colombia,Argentina,Colombia,1-2,2,1,L,FIFA World Cup qualification,Barranquilla,Colombia,0,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Argentina,18,2024-09-05,home,Argentina,Chile,Chile,3-0,3,0,W,FIFA World Cup qualification,Buenos Aires,Argentina,0,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Argentina,19,2024-07-14,neutral,Argentina,Colombia,Colombia,1-0,1,0,W,Copa América,Miami Gardens,United States,1,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Argentina,20,2024-07-09,neutral,Argentina,Canada,Canada,2-0,2,0,W,Copa América,East Rutherford,United States,1,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Australia,1,2026-06-06,neutral,Australia,Switzerland,Switzerland,1-1,1,1,D,Friendly,San Diego,United States,1,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Australia,2,2026-05-30,neutral,Mexico,Australia,Mexico,0-1,1,0,L,Friendly,Pasadena,United States,1,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Australia,3,2026-03-31,home,Australia,Curaçao,Curaçao,5-1,5,1,W,FIFA Series,Melbourne,Australia,0,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Australia,4,2026-03-27,home,Australia,Cameroon,Cameroon,1-0,1,0,W,FIFA Series,Sydney,Australia,0,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Australia,5,2025-11-18,neutral,Colombia,Australia,Colombia,0-3,3,0,L,Friendly,New York,United States,1,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
