fixture_id,fixture_event_name_pt,fixture_home_team,fixture_away_team,h2h_rank_recent,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,source_url
1,México x África do Sul,Mexico,South Africa,1,2010-06-11,South Africa,Mexico,1,1,FIFA World Cup,Johannesburg,South Africa,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
1,México x África do Sul,Mexico,South Africa,2,2005-07-08,South Africa,Mexico,2,1,Gold Cup,Carson,United States,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
1,México x África do Sul,Mexico,South Africa,3,2000-06-07,Mexico,South Africa,4,2,USA Cup,Dallas,United States,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
1,México x África do Sul,Mexico,South Africa,4,1993-10-06,Mexico,South Africa,4,0,Friendly,Los Angeles,United States,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
2,Coreia do Sul x República Tcheca,South Korea,Czech Republic,1,2016-06-05,Czech Republic,South Korea,1,2,Friendly,Prague,Czech Republic,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
2,Coreia do Sul x República Tcheca,South Korea,Czech Republic,2,2001-08-15,Czech Republic,South Korea,5,0,Friendly,Drnovice,Czech Republic,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
2,Coreia do Sul x República Tcheca,South Korea,Czech Republic,3,1998-05-27,South Korea,Czech Republic,2,2,Friendly,Seoul,South Korea,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
4,EUA x Paraguai,United States,Paraguay,1,2025-11-15,United States,Paraguay,2,1,Friendly,Chester,United States,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
4,EUA x Paraguai,United States,Paraguay,2,2018-03-27,United States,Paraguay,1,0,Friendly,Cary,United States,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
4,EUA x Paraguai,United States,Paraguay,3,2016-06-11,United States,Paraguay,1,0,Copa América,Philadelphia,United States,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
4,EUA x Paraguai,United States,Paraguay,4,2011-03-29,United States,Paraguay,0,1,Friendly,Nashville,United States,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
4,EUA x Paraguai,United States,Paraguay,5,2007-07-02,United States,Paraguay,1,3,Copa América,Barinas,Venezuela,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
