team,match_rank_recent,date,tournament,neutral,side,opponent,home_team,away_team,home_score,away_score,team_scoreline,team_result,city,country
Algeria,1,2026-06-03,Friendly,0,away,Netherlands,Netherlands,Algeria,0,1,1-0,W,Rotterdam,Netherlands
Algeria,2,2026-03-31,Friendly,1,neutral,Uruguay,Algeria,Uruguay,0,0,0-0,D,Turin,Italy
Algeria,3,2026-03-27,Friendly,1,neutral,Guatemala,Algeria,Guatemala,7,0,7-0,W,Genoa,Italy
Algeria,4,2026-01-10,African Cup of Nations,1,neutral,Nigeria,Algeria,Nigeria,0,2,0-2,L,Marrakesh,Morocco
Algeria,5,2026-01-06,African Cup of Nations,1,neutral,DR Congo,Algeria,DR Congo,1,0,1-0,W,Rabat,Morocco
Algeria,6,2025-12-31,African Cup of Nations,1,neutral,Equatorial Guinea,Equatorial Guinea,Algeria,1,3,3-1,W,Rabat,Morocco
Algeria,7,2025-12-28,African Cup of Nations,1,neutral,Burkina Faso,Algeria,Burkina Faso,1,0,1-0,W,Rabat,Morocco
Algeria,8,2025-12-24,African Cup of Nations,1,neutral,Sudan,Algeria,Sudan,3,0,3-0,W,Rabat,Morocco
Algeria,9,2025-12-12,Arab Cup,1,neutral,United Arab Emirates,Algeria,United Arab Emirates,1,1,1-1,D,Al Khor,Qatar
Algeria,10,2025-12-09,Arab Cup,1,neutral,Iraq,Algeria,Iraq,2,0,2-0,W,Al Rayyan,Qatar
Algeria,11,2025-12-06,Arab Cup,1,neutral,Bahrain,Bahrain,Algeria,1,5,5-1,W,Al Rayyan,Qatar
Algeria,12,2025-12-03,Arab Cup,1,neutral,Sudan,Algeria,Sudan,0,0,0-0,D,Al Rayyan,Qatar
Algeria,13,2025-11-18,Friendly,0,away,Saudi Arabia,Saudi Arabia,Algeria,0,2,2-0,W,Jeddah,Saudi Arabia
Algeria,14,2025-11-13,Friendly,1,neutral,Zimbabwe,Algeria,Zimbabwe,3,1,3-1,W,Jeddah,Saudi Arabia
Algeria,15,2025-10-14,FIFA World Cup qualification,0,home,Uganda,Algeria,Uganda,2,1,2-1,W,Tizi Ouzou,Algeria
Algeria,16,2025-10-09,FIFA World Cup qualification,0,home,Somalia,Algeria,Somalia,3,0,3-0,W,Bir El Djir,Algeria
Algeria,17,2025-09-08,FIFA World Cup qualification,1,neutral,Guinea,Guinea,Algeria,0,0,0-0,D,Casablanca,Morocco
Algeria,18,2025-09-04,FIFA World Cup qualification,0,home,Botswana,Algeria,Botswana,3,1,3-1,W,Tizi Ouzou,Algeria
Algeria,19,2025-06-10,Friendly,0,away,Sweden,Sweden,Algeria,4,3,3-4,L,Solna,Sweden
